Song,Artist
I Am the Best,2NE1
Dancing Queen,ABBA
You Shook Me All Night Long,AC/DC
Beautiful,Christina Aguilera
Rose Garden,Lynn Anderson
The House of the Rising Sun,The Animals
What a Wonderful World,Louis Armstrong	
The Cattle Call,Eddy Arnold	
Heat of the Moment,Asia
Never Gonna Give You Up,Rick Astley
Upside Down,A-Teens
I Want It That Way,Backstreet Boys
Working Class Man,Jimmy Barnes
One O'Clock Jump,Count Basie
Goldfinger,Shirley Bassey
Bela Lugosi's Dead,Bauhaus
Loser,Beck
I Left My Heart in San Francisco,Tony Bennett
Johnny B. Goode,Chuck Berry
Boundless Oceans, Vast Skies,Beyond
Fantastic Baby,Big Bang
Rebel Girl,Bikini Kill
(Don't Fear) The Reaper,Blue Öyster Cult
Livin' on a Prayer,Bon Jovi
Save Me,BTS
Hallelujah,Jeff Buckley
Margaritaville,Jimmy Buffett
Rhinestone Cowboy,Glen Campbell
Hero,Mariah Carey
All by Myself,Eric Carmen
We've Only Just Begun,The Carpenters
The Mercy Seat,Nick Cave and the Bad Seeds
What'd I Say,Ray Charles
I Want You to Want Me,Cheap Trick
Under the Milky Way,The Church
Layla,Eric Clapton
Crazy,Patsy Cline
Walking in Memphis,Marc Cohn
Khe Sanh,Cold Chisel	
In the Air Tonight,Phil Collins
My Favorite Things,John Coltrane
School's Out,Alice Cooper
Karma Chameleon,Culture Club
Achy Breaky Heart,Billy Ray Cyrus
La Mer,Bobby Darin
I've Gotta Be Me,Sammy Davis Jr.
Que Sera, Sera (Whatever Will Be, Will Be),Doris Day
Holiday in Cambodia,Dead Kennedys
Pour Some Sugar on Me,Def Leppard
Smoke on the Water,Deep Purple
Take Me Home, Country Roads,John Denver
Meet in the Middle,Diamond Rio
Falling In Love Again,Marlene Dietrich
My Heart Will Go On,Celine Dion
Light My Fire,The Doors
Through the Fire and Flames,DragonForce
Bodies,Drowning Pool
Hotel California,Eagles
Mr. Blue Sky,Electric Light Orchestra
Take the 'A' Train,Duke Ellington
Stay with Me,Lorraine Ellison
Lose Yourself,Eminem
The Final Countdown,Europe
Sweet Dreams (Are Made of This),Eurythmics
Blueberry Hill,Fats Domino
Everlong,Foo Fighters
Respect,Aretha Franklin
I Will Survive,Gloria Gaynor
Kick It in the Sticks,Brantley Gilbert
Gee,Girls' Generation
God Bless the USA,Lee Greenwood
Rock Around the Clock,Bill Haley & His Comets
Thanks for the Memory,Bob Hope
Stormy Weather,Lena Horne
I Will Always Love You,Whitney Houston
Ah! Leah!,Donnie Iris
El derecho de vivir en paz,Víctor Jara
Soy rebelde,Jeanette
The Middle,Jimmy Eat World
Piano Man,Billy Joel
Rocket Man,Elton John
He Stopped Loving Her Today,George Jones
Don't Stop Believin',Journey
Fallin',Alicia Keys
Mr. Brightside,The Killers
Shame,Evelyn King
Louie, Louie,The Kingsmen
You Really Got Me,The Kinks
Rock and Roll All Nite,Kiss
Midnight Train to Georgia,Gladys Knight & the Pips
Stairway to Heaven,Led Zeppelin
Imagine,John Lennon
Great Balls of Fire,Jerry Lee Lewis
In the End,Linkin Park
Auld Lang Syne,Guy Lombardo
Cry Me a River,Julie London
Coal Miner's Daughter,Loretta Lynn
Free Bird,Lynyrd Skynyrd
U Can't Touch This,MC Hammer
American Pie,Don McLean
Down Under,Men at Work
Can't Get You Out of My Head,Kylie Minogue
Nights in White Satin,The Moody Blues
Ace of Spades,Motörhead
How You Remind Me,Nickelback	
Closer,Nine Inch Nails
Smells Like Teen Spirit,Nirvana
Wonderwall,Oasis
Wagon Wheel,Old Crow Medicine Show
Crazy Train,Ozzy Osbourne
You Enjoy Myself,Phish
La Vie en rose,Edith Piaf
Every Rose Has Its Thorn,Poison
Every Breath You Take,The Police
Dior,Pop Smoke
A Whiter Shade of Pale,Procol Harum
Satin Sheets,Jeanne Pruett
Gangnam Style,Psy	
Bohemian Rhapsody,Queen
Hello,Lionel Richie
The Gambler,Kenny Rogers
(I Can't Get No) Satisfaction,The Rolling Stones
Blue Bayou,Linda Ronstadt
Rock You Like A Hurricane,Scorpions
Breaking Up Is Hard to Do,Neil Sedaka
Closing Time,Semisonic
Ol' Red,Blake Shelton
Lucifer,Shinee
You're So Vain,Carly Simon
The Sound of Silence,Simon & Garfunkel
My Way,Frank Sinatra
When a Man Loves a Woman,Percy Sledge
All Star,Smash Mouth	
I Got You Babe,Sonny & Cher
Black Hole Sun,Soundgarden
Wannabe,Spice Girls
Born to Run,Bruce Springsteen
Maggie May,Rod Stewart
Amarillo by Morning,George Strait
Sorry, Sorry,Super Junior
Chop Suey!,System of a Down
I Don't Care,Eva Tanguay
Shout,Tears for Fears
On the Good Ship Lollipop,Shirley Temple
My Girl,The Temptations
Tiptoe Through the Tulips,Tiny Tim
Forever and Ever, Amen,Randy Travis
Hello Darlin',Conway Twitty
Ice Ice Baby,Vanilla Ice
Bitter Sweet Symphony,The Verve
Y.M.C.A.,Village People
Moon River,Andy Williams
Every Day I Have the Blues,Joe Williams	
Save the Best for Last,Vanessa Williams
Rehab,Amy Winehouse
Stand by Your Man,Tammy Wynette
The Bund,Frances Yip
Maldita primavera,Yuri